City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
93,Clarksburg,39.28,-80.34,68.0,82,1,2.82,US,2020-06-21 05:41:30
94,Nantucket,41.28,-70.1,64.99,100,90,5.82,US,2020-06-21 05:41:30
95,Luau,-10.71,22.22,55.4,50,0,5.3,AO,2020-06-21 05:41:31
96,Kodiak,57.79,-152.41,51.8,87,90,11.41,US,2020-06-21 05:41:31
97,Ouahigouya,13.58,-2.42,86.86,42,51,8.5,BF,2020-06-21 05:41:31
98,Williston,48.15,-103.62,54.0,70,16,1.01,US,2020-06-21 05:40:39
99,Saint George,37.1,-113.58,84.2,9,1,5.82,US,2020-06-21 05:41:32
100,Makakilo City,21.35,-158.09,78.8,73,75,8.05,US,2020-06-21 05:41:34
101,Mahebourg,-20.41,57.7,71.6,83,75,16.11,MU,2020-06-21 05:41:07
102,Vaini,-21.2,-175.2,75.2,94,75,4.7,TO,2020-06-21 05:40:31
103,Yellowknife,62.46,-114.35,70.0,37,20,13.87,CA,2020-06-21 05:40:44
104,Kodinsk,58.69,99.18,81.1,32,48,6.53,RU,2020-06-21 05:41:35
105,Agadez,19.75,10.25,82.08,13,1,3.02,NE,2020-06-21 05:41:36
106,Puerto Ayora,-0.74,-90.35,69.01,96,91,3.0,EC,2020-06-21 05:41:36
107,Tsabong,-26.02,22.4,48.79,56,0,7.47,BW,2020-06-21 05:41:36
108,Vanavara,60.34,102.28,77.94,35,47,6.6,RU,2020-06-21 05:41:37
109,Mirsid,47.23,23.13,62.6,93,100,8.05,RO,2020-06-21 05:41:37
110,Gunnedah,-30.98,150.25,62.6,72,40,19.46,AU,2020-06-21 05:41:37
111,Coquimbo,-29.95,-71.34,51.8,93,48,11.41,CL,2020-06-21 05:41:37
112,Wakkanai,45.41,141.67,60.8,63,75,8.05,JP,2020-06-21 05:41:38
113,Luderitz,-26.65,15.16,59.0,51,0,9.17,NA,2020-06-21 05:41:40
114,Mahon,39.89,4.27,66.2,93,0,3.36,ES,2020-06-21 05:41:40
115,Yangambi,0.81,24.43,74.73,72,81,0.54,CD,2020-06-21 05:41:40
116,Ribeira Grande,38.52,-28.7,65.32,91,13,9.26,PT,2020-06-21 05:41:41
117,Medvedka,61.16,46.39,47.79,56,45,11.79,RU,2020-06-21 05:41:41
118,Prizren,42.21,20.74,60.01,77,40,2.24,XK,2020-06-21 05:41:44
119,Arys,42.43,68.8,91.4,16,0,4.47,KZ,2020-06-21 05:41:44
120,Aklavik,68.22,-135.01,48.2,76,75,8.05,CA,2020-06-21 05:41:45
121,Pisco,-13.7,-76.22,64.4,82,90,4.7,PE,2020-06-21 05:41:46
122,Olavarria,-36.89,-60.32,48.0,74,84,1.99,AR,2020-06-21 05:41:46
123,Byron Bay,-28.65,153.62,73.0,64,0,12.75,AU,2020-06-21 05:38:21
124,Manokwari,-0.87,134.08,84.51,67,6,4.23,ID,2020-06-21 05:39:04
125,Severo-Kurilsk,50.68,156.12,43.75,88,100,17.67,RU,2020-06-21 05:41:47
126,Vestmannaeyjar,63.44,-20.27,51.75,80,100,20.04,IS,2020-06-21 05:41:48
127,Canico,32.63,-16.85,69.8,68,40,16.11,PT,2020-06-21 05:41:49
128,Makubetsu,45.37,141.82,60.8,63,75,8.05,JP,2020-06-21 05:41:49
129,Constitucion,-35.33,-72.42,50.76,85,6,4.56,CL,2020-06-21 05:41:49
130,Bubaque,11.28,-15.83,81.16,81,89,10.76,GW,2020-06-21 05:41:50
131,Port Elizabeth,-33.92,25.57,60.8,82,13,11.41,ZA,2020-06-21 05:39:22
132,San Cristobal,7.77,-72.22,64.54,88,31,3.94,VE,2020-06-21 05:40:33
133,Laguna,38.42,-121.42,69.01,60,1,8.05,US,2020-06-21 05:41:56
134,Oranjemund,-28.55,16.43,54.5,91,0,3.02,NA,2020-06-21 05:41:56
135,Bastia,42.67,9.33,72.0,82,75,3.36,FR,2020-06-21 05:41:56
136,Bud,39.45,-86.18,73.99,84,51,7.05,US,2020-06-21 05:41:57
137,Port Lincoln,-34.73,135.87,57.88,73,58,21.03,AU,2020-06-21 05:41:23
138,Qurayyat,31.33,37.34,68.0,64,0,16.11,SA,2020-06-21 05:41:58
139,Nishihara,26.18,127.76,87.8,74,75,17.22,JP,2020-06-21 05:41:58
140,Bethel,41.37,-73.41,66.0,93,1,1.77,US,2020-06-21 05:41:58
141,Aitape,-3.14,142.35,85.53,67,87,7.56,PG,2020-06-21 05:41:59
142,Qaanaaq,77.48,-69.36,37.96,73,76,5.82,GL,2020-06-21 05:40:32
143,Beloha,-25.17,45.05,68.04,70,88,4.74,MG,2020-06-21 05:41:59
144,Anahuac,27.23,-100.15,82.67,69,40,19.19,MX,2020-06-21 05:41:59
145,East London,-33.02,27.91,59.0,72,0,6.93,ZA,2020-06-21 05:42:00
146,Dingle,11.0,122.67,90.34,61,77,9.53,PH,2020-06-21 05:42:00
147,Kharp,66.8,65.81,48.99,70,100,12.68,RU,2020-06-21 05:42:01
148,Cape Town,-33.93,18.42,61.0,87,40,12.75,ZA,2020-06-21 05:41:31
149,Hithadhoo,-0.6,73.08,83.88,73,67,10.13,MV,2020-06-21 05:40:42
150,Tonekabon,36.82,50.87,86.0,51,0,2.24,IR,2020-06-21 05:42:02
151,Provideniya,64.38,-173.3,60.15,38,0,4.45,RU,2020-06-21 05:42:02
152,Abha,18.22,42.51,77.0,23,84,5.82,SA,2020-06-21 05:42:02
153,Port Alfred,-33.59,26.89,60.01,87,2,4.0,ZA,2020-06-21 05:42:03
154,Mahajanga,-15.72,46.32,73.4,73,40,4.7,MG,2020-06-21 05:42:03
155,Maceio,-9.67,-35.74,73.4,94,75,5.82,BR,2020-06-21 05:42:04
156,Toamasina,-18.17,49.38,68.0,100,75,13.87,MG,2020-06-21 05:42:04
157,Mapiri,-15.25,-68.17,66.18,86,53,0.51,BO,2020-06-21 05:42:04
158,Hastings,50.86,0.57,59.0,82,99,4.0,GB,2020-06-21 05:37:20
159,Itaituba,-4.28,-55.98,72.1,96,53,1.21,BR,2020-06-21 05:41:41
160,Alugan,12.22,125.48,86.04,71,100,10.63,PH,2020-06-21 05:42:06
161,Camacha,33.08,-16.33,68.0,72,40,10.29,PT,2020-06-21 05:40:34
162,Katsuura,35.13,140.3,78.01,94,75,3.36,JP,2020-06-21 05:42:06
163,Vao,-22.67,167.48,69.08,63,4,12.03,NC,2020-06-21 05:40:29
164,Bambous Virieux,-20.34,57.76,75.0,83,75,16.11,MU,2020-06-21 05:42:07
165,Khatanga,71.97,102.5,67.42,45,56,16.22,RU,2020-06-21 05:42:07
166,Chokurdakh,70.63,147.92,88.27,23,6,12.73,RU,2020-06-21 05:42:07
167,Punta De Bombon,-17.17,-71.79,60.69,81,32,6.42,PE,2020-06-21 05:42:08
168,Zlitan,32.47,14.57,72.72,67,0,17.6,LY,2020-06-21 05:42:08
169,Buala,-8.14,159.59,83.55,77,100,8.21,SB,2020-06-21 05:42:08
170,Kasama,-10.21,31.18,57.6,63,11,5.41,ZM,2020-06-21 05:42:09
171,Bagdarin,54.43,113.6,72.07,40,45,2.66,RU,2020-06-21 05:42:09
172,Arman,59.7,150.17,57.56,65,8,8.16,RU,2020-06-21 05:42:09
173,Anqing,30.51,117.05,70.27,93,100,5.46,CN,2020-06-21 05:42:09
174,Veraval,20.9,70.37,87.15,73,78,16.51,IN,2020-06-21 05:42:10
175,Itarema,-2.92,-39.92,76.75,77,10,16.35,BR,2020-06-21 05:42:10
176,Longyearbyen,78.22,15.64,37.4,86,75,11.41,SJ,2020-06-21 05:42:10
177,Okhotsk,59.38,143.3,52.29,75,89,5.26,RU,2020-06-21 05:42:10
178,Labuhan,-6.88,112.21,85.01,64,56,7.72,ID,2020-06-21 05:42:11
179,Lagoa,39.05,-27.98,65.12,93,0,14.72,PT,2020-06-21 05:42:11
180,San Patricio,19.22,-104.7,78.49,69,81,3.44,MX,2020-06-21 05:42:12
181,Bonthe,7.53,-12.51,77.59,83,98,3.67,SL,2020-06-21 05:42:12
182,Ambilobe,-13.2,49.05,81.81,66,3,7.29,MG,2020-06-21 05:42:20
183,Sur,22.57,59.53,97.83,42,24,3.4,OM,2020-06-21 05:42:20
184,Airai,-8.93,125.41,71.15,68,0,4.88,TL,2020-06-21 05:40:45
185,Kabala,9.58,-11.55,69.69,97,49,2.86,SL,2020-06-21 05:42:21
186,Yuanping,38.72,112.76,91.54,28,20,5.97,CN,2020-06-21 05:42:21
187,Colac,-38.33,143.58,53.01,90,100,3.58,AU,2020-06-21 05:42:21
188,Barguzin,53.62,109.62,78.37,29,28,2.68,RU,2020-06-21 05:42:21
189,Cravo Norte,6.3,-70.2,73.09,96,39,2.89,CO,2020-06-21 05:42:22
190,Sao Francisco,-15.95,-44.86,63.72,65,0,5.68,BR,2020-06-21 05:42:22
191,Saint-Pierre,-21.34,55.48,77.0,65,20,12.75,RE,2020-06-21 05:42:23
192,Imeni Poliny Osipenko,52.42,136.49,56.91,80,99,14.03,RU,2020-06-21 05:42:23
193,Banff,51.18,-115.57,57.0,83,99,1.01,CA,2020-06-21 05:42:23
194,Klyuchi,52.27,79.17,64.81,30,25,7.54,RU,2020-06-21 05:42:14
195,Moissala,8.34,17.77,72.86,87,97,6.87,TD,2020-06-21 05:42:24
196,Touros,-5.2,-35.46,71.6,94,1,2.24,BR,2020-06-21 05:41:20
197,Weyburn,49.67,-103.85,44.01,84,4,4.0,CA,2020-06-21 05:42:25
198,Hobyo,5.35,48.53,83.7,57,17,24.11,SO,2020-06-21 05:42:25
199,Dikson,73.51,80.55,36.68,93,100,17.87,RU,2020-06-21 05:42:26
200,Vangaindrano,-23.35,47.6,67.06,91,99,5.7,MG,2020-06-21 05:42:26
201,Neiafu,-18.65,-173.98,78.8,88,75,11.41,TO,2020-06-21 05:42:27
202,Bathsheba,13.22,-59.52,82.4,83,40,19.46,BB,2020-06-21 05:42:27
203,Bijela,43.61,17.95,62.6,72,20,3.36,BA,2020-06-21 05:42:27
204,New Norfolk,-42.78,147.06,52.0,90,100,1.34,AU,2020-06-21 05:42:27
205,Safaga,26.73,33.94,84.2,39,0,18.34,EG,2020-06-21 05:42:28
206,Puerto Carreno,6.19,-67.49,75.25,93,99,4.14,CO,2020-06-21 05:42:30
207,Broken Hill,-31.95,141.43,60.8,48,75,23.04,AU,2020-06-21 05:42:30
208,Riberalta,-10.98,-66.1,72.77,86,37,0.83,BO,2020-06-21 05:42:30
209,Urucara,-2.54,-57.76,72.46,95,88,1.74,BR,2020-06-21 05:42:31
210,Acapulco,16.86,-99.89,81.23,76,100,4.56,MX,2020-06-21 05:38:20
211,Zhezkazgan,47.8,67.71,75.2,15,0,11.18,KZ,2020-06-21 05:42:31
212,Ahipara,-35.17,173.17,56.97,88,52,8.97,NZ,2020-06-21 05:42:32
213,Kavieng,-2.57,150.8,84.67,69,11,2.82,PG,2020-06-21 05:42:32
214,Georgetown,5.41,100.34,89.6,62,40,8.05,MY,2020-06-21 05:42:32
215,Pevek,69.7,170.31,45.5,70,69,6.87,RU,2020-06-21 05:42:33
216,Vila Franca Do Campo,37.72,-25.43,64.4,93,75,9.17,PT,2020-06-21 05:42:33
217,Ponta Do Sol,32.67,-17.1,69.8,68,40,16.11,PT,2020-06-21 05:42:34
218,Mehamn,71.04,27.85,51.64,58,61,3.53,NO,2020-06-21 05:42:34
219,Carnarvon,-24.87,113.63,75.2,57,0,6.93,AU,2020-06-21 05:42:34
220,Samarai,-10.62,150.67,80.19,83,19,9.51,PG,2020-06-21 05:42:35
221,Altay,47.87,88.12,57.42,35,17,10.83,CN,2020-06-21 05:42:35
222,Puerto Narino,-3.77,-70.38,71.92,97,34,0.87,CO,2020-06-21 05:42:36
