City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
291,Las Palmas,ES,69.8,28.42,-14.01,
293,Langres,FR,60.8,47.83,5.33,
294,Noumea,NC,75.2,-22.28,166.46,
295,Mackay,AU,73.4,-21.15,149.2,
296,Hay River,CA,62.6,60.82,-115.8,
298,Freeport,US,72.0,40.66,-73.58,
301,Altagracia De Orituco,VE,71.56,9.86,-66.38,
303,Beisfjord,NO,66.2,68.38,17.6,
306,Reggio Di Calabria,IT,73.0,38.11,15.66,
309,Jinchang,CN,76.32,38.5,102.17,
314,Contepec,MX,69.8,20.02,-100.12,
315,Portland,US,64.4,45.52,-122.68,
319,Churapcha,RU,72.54,62.0,132.43,
320,Palmas,BR,71.6,-10.21,-48.36,
322,Opava,CZ,62.01,49.94,17.9,
323,Baixo Guandu,BR,61.83,-19.52,-41.02,
324,Bara,NG,75.47,10.37,10.73,
325,Ahtopol,BG,68.0,42.1,27.95,
332,Koindu,GN,71.04,8.44,-10.33,
334,Rafai,CF,72.79,4.95,23.92,
335,Yaan,NG,70.3,7.38,8.57,
338,Uuemoisa,EE,64.0,58.94,23.59,
339,Diapaga,BF,79.97,12.07,1.79,
341,Ubaitaba,BR,67.5,-14.31,-39.32,
343,Fort Nelson,CA,60.8,58.81,-122.7,
360,Isangel,VU,77.0,-19.55,169.27,
362,Airai,TL,70.29,-8.93,125.41,
364,Zhigansk,RU,73.87,66.77,123.37,
365,Voh,NC,72.18,-20.97,164.7,
367,Kiruna,SE,62.6,67.86,20.23,
370,Demirci,TR,77.0,39.05,28.66,
372,Saint-Francois,FR,63.0,46.42,3.91,
373,Ust-Kut,RU,79.48,56.79,105.77,
374,Minsk,BY,62.6,53.9,27.57,
375,Nenjiang,CN,66.06,49.18,125.22,
378,Darhan,MN,70.18,49.49,105.92,
379,El Tigre,VE,76.53,8.89,-64.25,
385,Ibipeba,BR,63.32,-11.64,-42.01,
393,Lagoa,PT,66.06,39.05,-27.98,
394,Emba,KZ,78.87,48.83,58.14,
395,Balakhninskiy,RU,77.72,58.01,114.28,
396,Sakata,JP,78.8,38.92,139.85,
398,Gaffney,US,70.0,35.07,-81.65,
399,Omboue,GA,71.89,-1.57,9.26,
401,Ayotzintepec,MX,76.03,17.67,-96.13,
405,Hasaki,JP,68.0,35.73,140.83,
406,Peniche,PT,64.0,39.36,-9.38,
407,Barra Do Garcas,BR,65.44,-15.89,-52.26,
409,Jacqueville,CI,75.2,5.21,-4.41,
410,Broome,US,66.99,42.25,-75.83,
412,Xuddur,SO,79.79,4.12,43.89,
414,Presidencia Roque Saenz Pena,AR,69.76,-26.79,-60.44,
415,Kempele,FI,68.0,64.91,25.5,
416,Ayia Galini,GR,73.99,35.1,24.68,
419,Coahuayana,MX,79.92,18.73,-103.68,
423,Sangar,RU,73.96,63.92,127.47,
426,Victoria Point,AU,69.01,-27.58,153.3,
427,Cuamba,MZ,64.54,-14.8,36.54,
428,San Carlos,VE,72.77,9.66,-68.58,
429,Cacule,BR,60.12,-14.5,-42.22,
433,Washington,US,66.2,47.5,-120.5,
435,Harboore,DK,62.01,56.62,8.18,
438,Romodanovo,RU,61.11,54.43,45.33,
440,Coruripe,BR,74.17,-10.13,-36.18,
441,Fontem,CM,65.8,5.47,9.88,
445,Chapais,CA,68.0,49.78,-74.85,
446,Ponta Do Sol,PT,69.8,32.67,-17.1,
447,Filadelfia,US,73.4,39.95,-75.16,
448,Valkeakoski,FI,64.0,61.26,24.03,
449,Lodja,CD,75.65,-3.48,23.43,
452,Lufkin,US,75.99,31.34,-94.73,
454,Santona,ES,64.99,43.44,-3.46,
460,Tigil,RU,69.04,57.8,158.67,
461,Zarcero,CR,71.6,10.19,-84.39,
463,Chicama,PE,62.87,-7.84,-79.15,
466,Cap Malheureux,MU,72.0,-19.98,57.61,
472,Ningxiang,CN,79.59,37.34,111.21,
478,Ekibastuz,KZ,79.97,51.67,75.37,
482,Lola,GN,70.84,7.8,-8.53,
485,Sobolevo,RU,60.8,54.43,31.9,
486,Chernitsyno,RU,69.8,51.51,36.05,
487,Ponnani,IN,77.0,10.77,75.93,
490,Faanui,PF,77.23,-16.48,-151.75,
492,Puerto Del Rosario,ES,69.8,28.5,-13.86,
494,Ust-Omchug,RU,73.65,61.15,149.63,
495,Souillac,MU,73.4,-20.52,57.52,
496,Ikongo,MG,73.85,-21.88,47.43,
502,Charters Towers,AU,74.3,-20.1,146.27,
505,Richards Bay,ZA,63.19,-28.78,32.04,
506,Yulara,AU,62.6,-25.24,130.99,
511,San Quintin,MX,63.81,30.48,-115.95,
