City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
130,Blackwater,0,AU,clear sky,35,-23.58,148.88,70.25,0.0,0,8.72
131,San Isidro,75,PE,broken clouds,82,-12.12,-77.05,62.6,0.0,0,2.24
132,Maple Creek,13,CA,few clouds,76,49.92,-109.48,52.9,0.0,0,5.93
133,Union,1,US,clear sky,78,40.63,-74.27,75.2,0.0,0,5.57
134,Jalu,0,LY,clear sky,69,29.03,21.55,72.12,0.0,0,10.94
135,Upernavik,84,GL,broken clouds,71,72.79,-56.15,39.45,0.0,0,8.3
136,Lannion,0,FR,clear sky,100,48.75,-3.42,50.0,0.0,0,5.82
137,Cabo San Lucas,4,MX,clear sky,55,22.89,-109.91,79.0,0.0,0,4.45
138,Tasiilaq,81,GL,broken clouds,70,65.61,-37.64,48.2,0.0,0,2.24
139,Palomares,88,MX,light rain,93,17.15,-95.07,76.48,0.2,0,3.06
140,Ugoofaaru,100,MV,overcast clouds,79,5.67,73.0,83.16,0.0,0,12.44
141,Laguna,1,US,clear sky,56,38.42,-121.42,72.0,0.0,0,8.05
142,Alofi,77,NU,broken clouds,83,-19.06,-169.92,77.0,0.0,0,6.93
143,Arraial Do Cabo,0,BR,clear sky,80,-22.97,-42.03,72.45,0.0,0,5.68
144,Coquimbo,99,CL,overcast clouds,100,-29.95,-71.34,51.8,0.0,0,1.12
145,Dingle,78,PH,broken clouds,62,11.0,122.67,90.21,0.0,0,7.4
146,Nieuw Amsterdam,4,SR,light rain,94,5.88,-55.08,78.01,0.26,0,8.05
147,Beringovskiy,3,RU,clear sky,48,63.05,179.32,54.01,0.0,0,7.45
148,Esperance,0,AU,clear sky,44,-33.87,121.9,59.0,0.0,0,20.8
149,Vila Velha,0,BR,clear sky,93,-20.33,-40.29,66.0,0.0,0,7.07
150,Salalah,75,OM,broken clouds,74,17.02,54.09,86.0,0.0,0,3.36
151,Nanortalik,65,GL,broken clouds,77,60.14,-45.24,44.26,0.0,0,8.28
152,Calabozo,69,VE,broken clouds,93,8.92,-67.43,73.31,0.0,0,5.77
153,Geraldton,57,AU,broken clouds,22,-28.77,114.6,78.8,0.0,0,21.92
154,Grand Gaube,2,MU,clear sky,80,-20.01,57.66,72.0,0.0,0,5.99
155,Nome,75,US,broken clouds,56,64.5,-165.41,70.0,0.0,0,11.41
156,Pisco,24,PE,mist,82,-13.7,-76.22,57.0,0.0,0,1.12
157,Gualan,93,GT,overcast clouds,85,15.13,-89.37,75.16,0.0,0,0.67
158,Dawei,12,MM,few clouds,60,14.08,98.2,89.83,0.0,0,7.58
159,Quelimane,75,MZ,broken clouds,93,-17.88,36.89,66.2,0.0,0,3.36
160,Castro,0,BR,clear sky,83,-24.79,-50.01,55.78,0.0,0,3.8
161,Nevers,90,FR,fog,100,46.92,3.33,57.2,0.0,0,3.36
162,Banda Aceh,100,ID,overcast clouds,79,5.56,95.32,81.14,0.0,0,13.09
163,Burnie,100,AU,overcast clouds,76,-41.07,145.92,55.99,0.0,0,1.99
164,Tak,40,TH,scattered clouds,62,16.58,98.83,89.6,0.0,0,2.24
165,Shelburne,1,CA,clear sky,100,44.08,-80.2,68.0,0.0,0,3.36
166,Gladstone,40,AU,scattered clouds,56,-23.85,151.25,71.6,0.0,0,9.17
167,Longyearbyen,0,SJ,clear sky,61,78.22,15.64,46.4,0.0,0,6.93
168,Crotone,1,IT,clear sky,59,39.09,17.12,71.46,0.0,0,12.84
169,Mombaca,8,BR,clear sky,84,-5.74,-39.63,65.34,0.0,0,2.68
170,Malkapur,79,IN,broken clouds,48,20.88,76.2,92.88,0.0,0,13.02
171,Katherine,0,AU,clear sky,23,-14.47,132.27,84.2,0.0,0,16.11
172,Itarema,32,BR,scattered clouds,83,-2.92,-39.92,75.09,0.0,0,9.86
173,Hambantota,20,LK,few clouds,70,6.12,81.12,87.8,0.0,0,16.11
174,Mandurah,92,AU,overcast clouds,34,-32.55,115.7,68.0,0.0,0,22.15
175,Am Timan,92,TD,overcast clouds,68,11.03,20.28,78.8,0.0,0,11.74
176,Imbituba,3,BR,clear sky,77,-28.24,-48.67,69.8,0.0,0,6.93
177,Sanmenxia,100,CN,overcast clouds,68,34.77,111.18,74.01,0.0,0,2.73
178,Hithadhoo,98,MV,overcast clouds,65,-0.6,73.08,84.6,0.0,0,6.91
179,Veraval,63,IN,broken clouds,71,20.9,70.37,87.48,0.0,0,12.77
180,Lalmohan,34,BD,scattered clouds,74,22.34,90.74,87.24,0.0,0,20.69
181,Katsuura,75,JP,moderate rain,94,35.13,140.3,69.8,0.0,0,25.28
182,Avarua,71,CK,light rain,78,-21.21,-159.78,71.6,0.0,0,10.29
183,Fukue,20,JP,few clouds,57,32.69,128.84,80.6,0.0,0,5.82
184,Port Elizabeth,35,ZA,scattered clouds,93,-33.92,25.57,48.2,0.0,0,3.36
185,Mayna,0,RU,clear sky,67,54.11,47.62,56.8,0.0,0,9.17
186,Avera,75,US,broken clouds,79,33.19,-82.53,72.0,0.0,0,5.35
187,Kambove,0,CD,clear sky,59,-10.88,26.6,53.38,0.0,0,7.99
188,Antofagasta,75,CL,broken clouds,76,-23.65,-70.4,57.2,0.0,0,4.7
189,Kyabe,100,TD,overcast clouds,73,9.45,18.94,75.22,0.0,0,8.01
190,Srandakan,88,ID,moderate rain,78,-7.94,110.25,82.53,1.35,0,17.22
191,Sindor,61,RU,broken clouds,51,62.86,51.89,50.63,0.0,0,6.91
192,Rudnyy,40,KZ,scattered clouds,58,52.96,63.12,59.0,0.0,0,15.66
193,Martapura,40,ID,scattered clouds,70,-3.42,114.85,87.8,0.0,0,11.41
194,Ust-Maya,91,RU,overcast clouds,38,60.42,134.53,68.86,0.0,0,7.49
195,Sigli,100,ID,overcast clouds,72,5.38,95.96,82.08,0.0,0,6.02
196,Limot,40,PH,scattered clouds,62,7.04,126.27,89.6,0.0,0,9.17
197,Ilulissat,53,GL,broken clouds,75,69.22,-51.1,41.0,0.0,0,1.12
198,Port Hedland,0,AU,clear sky,21,-20.32,118.57,84.2,0.0,0,12.75
199,Cayenne,20,GF,few clouds,100,4.93,-52.33,77.0,0.0,0,6.38
200,Los Llanos De Aridane,3,ES,clear sky,73,28.66,-17.92,69.8,0.0,0,12.75
201,Ferrol,1,ES,clear sky,93,43.48,-8.24,55.99,0.0,0,4.7
202,Timizart,0,DZ,clear sky,44,36.8,4.27,71.42,0.0,0,5.1
203,Strelka,23,RU,few clouds,49,58.07,93.03,73.22,0.0,0,7.45
204,Santa Lucia,20,ES,few clouds,73,27.91,-15.54,69.8,0.0,0,20.8
205,Luorong,94,CN,overcast clouds,67,24.41,109.61,91.29,0.0,0,16.02
206,Rosario Do Sul,81,BR,light rain,92,-30.26,-54.91,63.45,0.13,0,9.6
207,Kieta,7,PG,light rain,70,-6.22,155.63,84.22,0.74,0,4.29
208,Odessa,54,UA,broken clouds,78,46.48,30.73,73.4,0.0,0,2.24
209,Kenai,1,US,clear sky,66,60.55,-151.26,57.2,0.0,0,11.41
210,Kingman,1,US,clear sky,15,35.19,-114.05,82.4,0.0,0,12.75
211,Skhisma,0,GR,clear sky,60,35.27,25.72,75.0,0.0,0,5.82
212,Abha,57,SA,broken clouds,27,18.22,42.51,77.0,0.0,0,16.11
213,Kayes,49,ML,scattered clouds,58,14.0,-11.0,83.84,0.0,0,13.51
214,Vanimo,30,PG,scattered clouds,66,-2.67,141.3,85.46,0.0,0,6.35
215,Ginir,33,ET,scattered clouds,68,7.13,40.7,68.56,0.0,0,3.49
216,Salinopolis,92,BR,overcast clouds,87,-0.61,-47.36,77.59,0.0,0,9.82
217,Jamestown,20,US,few clouds,88,42.1,-79.24,66.2,0.0,0,4.7
218,Ostrovnoy,10,RU,clear sky,71,68.05,39.51,47.7,0.0,0,16.17
219,Talnakh,23,RU,few clouds,36,69.49,88.4,64.4,0.0,0,17.9
220,Maceio,40,BR,scattered clouds,94,-9.67,-35.74,69.8,0.0,0,3.36
221,Mount Gambier,75,AU,light intensity shower rain,93,-37.83,140.77,53.6,0.0,0,10.29
222,Santiago Del Estero,100,AR,overcast clouds,59,-27.8,-64.26,60.26,0.0,0,5.77
223,Ilo,66,PE,broken clouds,78,-17.64,-71.34,60.73,0.0,0,4.05
224,Arti,2,RU,clear sky,57,56.42,58.53,55.85,0.0,0,9.13
225,Caravelas,0,BR,clear sky,80,-17.71,-39.25,65.93,0.0,0,1.9
226,Skarnes,100,NO,moderate rain,87,60.25,11.68,55.99,1.27,0,5.48
227,Port Blair,33,IN,scattered clouds,68,11.67,92.75,87.4,0.0,0,8.52
228,Boyolangu,87,ID,moderate rain,80,-8.12,111.89,80.98,1.42,0,11.88
229,Niksic,89,ME,overcast clouds,72,42.77,18.94,69.8,0.0,0,1.12
230,Port Keats,0,AU,clear sky,26,-14.25,129.55,86.11,0.0,0,10.6
231,Constitucion,100,CL,overcast clouds,79,-35.33,-72.42,51.82,0.0,0,10.78
232,Kasongo-Lunda,0,CD,clear sky,42,-6.47,16.82,62.69,0.0,0,2.37
233,Yinchuan,63,CN,broken clouds,30,38.47,106.27,84.0,0.0,0,3.0
234,Chimbote,79,PE,broken clouds,90,-9.09,-78.58,61.43,0.0,0,5.86
